# Time(s) Gyro_X Gyro_Y Gyro_Z Acc_X Acc_Y Acc_Z
1.320000 -0.00071313 0.00185387 -0.00091454 0.009196 -0.034614 -10.308597
1.330000 0.00223782 -0.00109443 -0.00139938 0.020172 -0.022253 -10.287684
1.340000 0.00100524 0.00054698 -0.00125007 0.017862 -0.018247 -10.299853
1.350000 0.00162285 -0.00056762 -0.00094238 0.019015 -0.019185 -10.305163
1.360000 0.00112030 0.00101444 -0.00008839 0.029892 -0.021241 -10.300485
1.370000 -0.00012464 -0.00103411 0.00047768 0.024294 -0.011813 -10.305584
1.380000 0.00133231 -0.00024849 0.00075115 0.027550 -0.009623 -10.294870
1.390000 0.00111567 0.00167930 -0.00073248 0.015687 -0.019067 -10.298668
1.400000 0.00306075 0.00225534 -0.00104896 0.007682 -0.015393 -10.287729
1.410000 0.00197157 0.00114538 0.00056863 0.028764 -0.018809 -10.286009
1.420000 0.00003508 0.00118605 0.00025842 0.039059 -0.018162 -10.289735
1.430000 -0.00075874 -0.00068326 -0.00283923 -0.002628 -0.027581 -10.295739
1.440000 0.00073059 0.00121754 0.00070236 0.009933 0.005392 -10.290671
1.450000 0.00107409 0.00212862 -0.00218010 0.029658 -0.015290 -10.306682
1.460000 -0.00070338 0.00044445 -0.00041593 0.014812 -0.012456 -10.303029
1.470000 0.00096731 -0.00156744 -0.00088912 0.026712 -0.007886 -10.296600
1.480000 -0.00030447 0.00116967 -0.00043340 0.001744 0.002148 -10.298777
1.490000 0.00006012 -0.00001387 -0.00185921 0.047093 -0.008475 -10.298750
1.500000 0.00093732 0.00145514 -0.00178573 0.024478 -0.035193 -10.286389
1.510000 0.00150405 -0.00003026 -0.00159287 0.045669 -0.035892 -10.299524
1.520000 0.00089297 -0.00053524 -0.00135365 0.018947 -0.006248 -10.275590
1.530000 -0.00019788 0.00246473 -0.00076474 0.023829 0.006418 -10.294946
1.540000 0.00030027 0.00071398 -0.00091233 0.024514 -0.011718 -10.284447
1.550000 0.00077903 0.00111417 -0.00004249 0.015777 -0.006817 -10.308958
1.560000 0.00046950 -0.00007582 -0.00107505 0.017155 -0.021367 -10.295770
1.570000 -0.00130192 -0.00101519 0.00056687 0.016839 -0.003679 -10.305437
1.580000 0.00264497 0.00025096 -0.00022344 0.002687 -0.028573 -10.286708
1.590000 0.00131125 0.00357888 0.00031957 0.010304 -0.011022 -10.299598
1.600000 0.00087208 -0.00045554 -0.00240645 0.028242 -0.017308 -10.269007
1.610000 0.00120346 -0.00025635 -0.00222225 0.038981 -0.018152 -10.301171
1.620000 0.00035343 -0.00058155 0.00088714 0.051323 -0.025789 -10.297200
1.630000 0.00188164 0.00049203 0.00067994 0.020224 -0.015023 -10.314037
1.640000 0.00107737 -0.00036128 0.00072312 0.024966 -0.024704 -10.282290
1.650000 0.00153891 -0.00053725 -0.00099034 0.005440 -0.014405 -10.318811
1.660000 0.00012438 -0.00088280 0.00012618 -0.001544 -0.023394 -10.303632
1.670000 0.00290942 -0.00089857 -0.00023703 0.034657 -0.015406 -10.283726
1.680000 0.00034936 0.00001287 -0.00139239 0.016202 -0.008939 -10.303905
1.690000 0.00013601 0.00054852 -0.00163095 0.012065 -0.033209 -10.293292
1.700000 0.00127046 0.00044976 -0.00103895 0.022621 -0.007227 -10.294501
1.710000 0.00009244 -0.00007677 -0.00004461 0.040262 -0.013240 -10.286732
1.720000 0.00150092 -0.00047756 -0.00070067 0.016759 -0.024085 -10.289473
1.730000 0.00175139 -0.00116941 -0.00025664 0.019109 -0.006680 -10.293121
1.740000 0.00033738 0.00107060 -0.00156326 0.012070 -0.004257 -10.305362
1.750000 -0.00080488 -0.00112754 -0.00075192 0.026253 -0.002184 -10.300496
1.760000 0.00125972 -0.00040432 -0.00016141 0.031560 -0.011024 -10.288131
1.770000 -0.00066152 0.00043392 -0.00201102 0.011632 -0.012857 -10.310731
1.780000 0.00034816 0.00054740 -0.00166041 0.037113 -0.035140 -10.300198
1.790000 0.00061544 0.00150629 -0.00137689 0.010683 -0.008253 -10.277411
1.800000 0.00183569 -0.00062971 -0.00027020 0.026549 0.014613 -10.310429
1.810000 0.00244157 -0.00197164 -0.00159690 0.006988 -0.023931 -10.295438
1.820000 0.00157707 0.00029695 -0.00042885 0.009731 -0.022517 -10.290445
1.830000 0.00039601 0.00058659 -0.00095568 0.007608 -0.026332 -10.300635
1.840000 0.00216778 0.00075442 -0.00046240 0.016956 -0.004900 -10.305656
1.850000 0.00058812 0.00001239 -0.00123256 0.012797 -0.009183 -10.288636
1.860000 0.00139445 0.00007902 -0.00051023 0.034287 -0.010309 -10.295346
1.870000 0.00307540 0.00137112 -0.00112602 0.025750 -0.017674 -10.299398
1.880000 0.00220121 0.00009192 -0.00283812 0.002259 -0.006066 -10.294535
1.890000 -0.00000809 -0.00137079 -0.00115151 0.027770 -0.043158 -10.297121
1.900000 0.00101842 0.00217644 -0.00047307 0.011441 0.000014 -10.290508
1.910000 0.00078090 0.00132941 -0.00301114 0.022342 -0.019319 -10.292678
1.920000 0.00123561 0.00127087 -0.00227859 0.010718 -0.015997 -10.302434
1.930000 0.00214375 0.00083850 -0.00121529 0.042665 -0.000301 -10.286020
1.940000 0.00163278 0.00277069 -0.00061813 0.005097 -0.006358 -10.294773
1.950000 0.00124822 0.00004064 -0.00164984 0.032235 -0.011776 -10.296717
1.960000 0.00183034 -0.00035608 -0.00072843 0.022338 -0.033056 -10.304324
1.970000 0.00052234 0.00097898 -0.00046634 0.023733 -0.003606 -10.302155
1.980000 0.00203754 -0.00001002 -0.00106987 0.019592 -0.031010 -10.282057
1.990000 0.00002124 0.00005571 -0.00042270 0.031137 -0.008479 -10.292582
2.000000 0.00175699 -0.00042217 0.00006961 0.035525 -0.023050 -10.305782
2.010000 0.00235564 0.00091343 0.00107680 0.030615 -0.005057 -10.308585
2.020000 0.00022621 -0.00074465 -0.00257872 0.014686 0.001891 -10.292533
2.030000 0.00249604 0.00115437 -0.00085558 0.027872 -0.026590 -10.290084
2.040000 0.00127997 -0.00062549 0.00164575 0.005805 -0.034798 -10.289382
2.050000 0.00112922 0.00060939 -0.00007423 0.034344 -0.017538 -10.302116
2.060000 0.00148101 0.00072388 -0.00159047 0.037108 -0.016948 -10.297308
2.070000 0.00147147 0.00238202 0.00054542 0.036940 -0.018536 -10.303190
2.080000 0.00259319 -0.00001122 -0.00178960 0.028155 -0.022119 -10.298096
2.090000 0.00087421 0.00055572 0.00029419 0.006808 -0.013146 -10.295969
2.100000 -0.00069246 0.00202955 -0.00095801 0.029680 -0.006427 -10.291135
